"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Mixing Crew"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=182894&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e7db031a&cb=1543699492383&jobListingId=3025342965"," 17 days ago"
"ADAS Algorithm Engineer"," Continental Corporation  ","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c6298848&cb=1543699492384&jobListingId=3027644639"," 15 days ago"
"Computer Vision Surround View Engineer (ADAS)"," Continental Corporation  ","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_75b98ae7&cb=1543699492385&jobListingId=3024635146"," 17 days ago"
"Industrial Engineer"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c1875c4a&cb=1543699492386&jobListingId=3024565822"," 17 days ago"
"Project Manager"," Continental Corporation  ","MI","Auburn Hills","$49k-$71k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5905969a&cb=1543699492388&jobListingId=3024658784"," 17 days ago"
"Intern - Validation Test Engineer"," Continental Corporation  ","MI","Dearborn","$48k-$55k","Dearborn, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=283198&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_caa4e7e8&cb=1543699492389&jobListingId=3025268966"," 17 days ago"
"Mechanical Engineer"," Continental Corporation  ","MI","Auburn Hills","$44k-$115k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_46c402e8&cb=1543699492390&jobListingId=3024572690"," 17 days ago"
"CBC Managing Consultant/ Regional Manager"," Continental Corporation  ","MI","Auburn Hills","$50k-$83k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9936be56&cb=1543699492391&jobListingId=3024721342"," 17 days ago"
"Production Planning Manager"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_326d1d69&cb=1543699492393&jobListingId=3024709757"," 17 days ago"
"Intern - Engineering, Passive Safety Algorithm"," Continental  New","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=177462&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a2ea2a63&cb=1543699492394&jobListingId=3012267676","7 days ago"
