"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Client Service Administrator - Building Automation - Detroit"," Siemens PLC  ","MI","Plymouth","","Plymouth, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7e887355&cb=1543699496693&jobListingId=3018005019"," 23 days ago"
"Technical Product Manager - Advanced Teamcenter / STAR-CCM+"," Siemens PLC  ","MI","Troy","$89k-$131k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f6e43c93&cb=1543699496694&jobListingId=2973031188"," 3 days ago"
"System Specialist - Building Automation - Grand Rapids, MI"," Siemens PLC  ","MI","Wyoming","$40k-$62k","Wyoming, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a6d37dff&cb=1543699496696&jobListingId=2993036088"," 19 days ago"
"CFD/Thermal Application Engineer - Siemens Software"," Siemens PLC  ","MI","Livonia","$67k-$102k","Livonia, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a7180028&cb=1543699496697&jobListingId=2970649158"," 4 days ago"
"Project Engineer - Real Time Locating Systems - Industrial Automation - MI"," Siemens PLC  ","MI","Troy","$68k-$93k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_07b6bae6&cb=1543699496698&jobListingId=3042599230"," 1 day ago"
"Teamcenter Migration Architect - Major US City (Preferred: Detroit MI, Cincinnati OH, Cypress CA, Plano TX, St. Louis MO)"," Siemens PLC  ","MI","Troy","","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2893a51f&cb=1543699496700&jobListingId=2886665896"," 2 days ago"
"Portfolio Sales Professional-Industrial Accounts-IL-OH"," Siemens PLC  ","MI","Troy","","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e0aee073&cb=1543699496701&jobListingId=2843504020"," 3 days ago"
"Product Architect - Teamcenter Active Workspace - Major U.S. City (Detroit or Cincinnati preferred)"," Siemens PLC  ","MI","Troy","","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c993fab1&cb=1543699496702&jobListingId=2843504067"," 3 days ago"
"Sr. Sales Executive - Security Solutions & Service Sales - Grand Rapids, MI"," Siemens PLC  ","MI","Wyoming","","Wyoming, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_84283245&cb=1543699496703&jobListingId=3041924185"," 1 day ago"
"Modeling Simulation Services Manager"," Siemens  ","MI","Livonia","$87k-$117k","Livonia, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=182759&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_44e59e6b&cb=1543699496704&jobListingId=3025410770"," 17 days ago"
"Senior Estimator/Inside Sales Specialist - Intelligent Traffic Solutions"," Siemens PLC  ","MI","Ann Arbor","$39-$62 per hour","Ann Arbor, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e4935f19&cb=1543699496705&jobListingId=2970649142"," 4 days ago"
"Fire Alarms Service Technician - Detroit, MI"," Siemens  ","MI","Plymouth","$18-$28 per hour","Plymouth, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=182759&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_39968d36&cb=1543699496707&jobListingId=3044207122"," Today"
"IoT Solutions Sales Executive - Detroit"," Siemens PLC  ","MI","Plymouth","","Plymouth, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5e982632&cb=1543699496708&jobListingId=2965449830"," 8 days ago"
"Application Support Engineer Student Intern (SSE, PK)"," Siemens  ","MI","Northville","$47k-$61k","Northville, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=182759&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8b40388c&cb=1543699496709&jobListingId=3040303076"," 3 days ago"
"Midmarket Marketing Campaign Coordinator"," Siemens PLC  ","","United States","","United States","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c5091ff1&cb=1543699496711&jobListingId=3041509046"," 2 days ago"
"Simulation Software Marketing Coordinator - Senior"," Siemens PLC  ","MI","Livonia","$51k-$72k","Livonia, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1077990c&cb=1543699496712&jobListingId=3010537754"," 1 day ago"
"Building Automation Controls Technician - Detroit, MI"," Siemens  ","MI","Plymouth","","Plymouth, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=182759&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2fe4c6ad&cb=1543699496713&jobListingId=3040303654"," 3 days ago"
"Security Installation Technician - Detroit"," Siemens PLC  ","MI","Plymouth","","Plymouth, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=344663&s=58&guid=000001676ba8fe859678125ff06f0076&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ae759a9f&cb=1543699496714&jobListingId=3041508954"," 2 days ago"
